2021-06-08 15:19:42,113 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:19:44,116 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:19:46,119 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:19:48,125 DEBUG  ROS Time: 2 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:19:50,131 DEBUG  ROS Time: 4 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:19:52,135 DEBUG  ROS Time: 6 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:19:54,139 DEBUG  ROS Time: 8 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:19:56,145 DEBUG  ROS Time: 10 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:19:58,151 DEBUG  ROS Time: 12 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:00,156 DEBUG  ROS Time: 14 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:02,163 DEBUG  ROS Time: 16 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:04,170 DEBUG  ROS Time: 18 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:06,175 DEBUG  ROS Time: 20 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:08,180 DEBUG  ROS Time: 22 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:10,186 DEBUG  ROS Time: 24 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:12,191 DEBUG  ROS Time: 26 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:14,197 DEBUG  ROS Time: 28 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:16,203 DEBUG  ROS Time: 30 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:18,207 DEBUG  ROS Time: 32 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:20,213 DEBUG  ROS Time: 34 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:22,218 DEBUG  ROS Time: 36 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:24,225 DEBUG  ROS Time: 38 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:26,235 DEBUG  ROS Time: 40 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:28,241 DEBUG  ROS Time: 42 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:30,246 DEBUG  ROS Time: 44 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:32,251 DEBUG  ROS Time: 46 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:34,256 DEBUG  ROS Time: 48 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:36,262 DEBUG  ROS Time: 50 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:38,266 DEBUG  ROS Time: 52 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:40,270 DEBUG  ROS Time: 54 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:42,275 DEBUG  ROS Time: 56 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:44,279 DEBUG  ROS Time: 58 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:46,285 DEBUG  ROS Time: 60 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:48,291 DEBUG  ROS Time: 62 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:50,297 DEBUG  ROS Time: 64 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:52,302 DEBUG  ROS Time: 66 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:54,307 DEBUG  ROS Time: 68 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:56,311 DEBUG  ROS Time: 70 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:20:58,315 DEBUG  ROS Time: 72 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:00,319 DEBUG  ROS Time: 74 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:02,327 DEBUG  ROS Time: 76 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:04,331 DEBUG  ROS Time: 78 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:06,337 DEBUG  ROS Time: 80 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:08,343 DEBUG  ROS Time: 82 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:10,348 DEBUG  ROS Time: 84 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:12,352 DEBUG  ROS Time: 86 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:14,359 DEBUG  ROS Time: 88 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:16,365 DEBUG  ROS Time: 90 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:18,369 DEBUG  ROS Time: 92 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:20,375 DEBUG  ROS Time: 94 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:22,378 DEBUG  ROS Time: 96 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:24,381 DEBUG  ROS Time: 98 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2021-06-08 15:21:26,387 DEBUG  ROS Time: 100 | active tasks: 0 | terminated tasks: 0 | active robots: 0
